x_1 x_2 v_1 v_2 r1 r2 height x0_bias y0_bias
1.22756 2.13392 0.189731 -0.310395 -0.0986673 0.676426 0 0 0
1.5282 1.81301 0.342658 -0.396735 1.03077 -0.12041 0 0 0
1.92638 1.74732 0.0997279 0.287433 -0.431373 -0.176385 0 0 0
1.79569 1.99886 -0.129218 0.125345 -0.156137 -0.715719 0 0 0
1.94389 1.74193 -0.228754 -0.0248346 -0.370561 -0.0787815 0 0 0
1.59849 1.69794 -0.529238 0.0509167 0.710513 -0.132855 0 0 0
1.3517 1.76513 0.23865 0.219559 -0.544018 1.73962 0 0 0
1.70366 1.44143 0.317016 -0.429001 -0.773885 0.39067 0 0 0
1.79611 1.65904 -0.576711 0.393471 1.12553 0.635517 0 0 0
1.18834 1.59412 -0.283813 -0.00339826 -0.0442513 -0.246529 0 0 0
1.10996 1.47248 0.0884889 -0.0877915 -0.619619 -0.301562 0 0 0
1.33097 1.47493 0.243653 -0.112233 -1.21247 0.430148 0 0 0
1.15358 1.52432 0.432418 0.242367 -0.78356 -0.954281 0 0 0
1.05217 1.52078 0.000820489 -0.109621 -0.210823 0.139318 0 0 0
1.17354 1.5132 0.309735 0.261215 0.823308 2.13167 0 0 0
1.22801 1.52439 -0.123303 -0.120621 -1.24918 0.372588 0 0 0
1.02926 1.7164 -0.164917 0.376385 -0.557406 -1.26611 0 0 0
1.27439 1.90718 0.0982896 0.232851 2.30956 1.1016 0 0 0
1.67676 1.87335 0.318769 0.101579 -1.10814 1.02309 0 0 0
1.64189 1.59364 -0.102271 -0.585106 0.135541 -0.0334098 0 0 0
1.27792 1.25283 -0.617472 0.318771 -0.53148 0.256051 0 0 0
1.20525 1.76795 0.126361 0.86001 -0.712354 -0.234004 0 0 0
1.57468 2.29698 0.481148 0.456887 -0.635455 -1.1597 0 0 0
1.97228 2.11802 0.28521 -0.151264 -0.723711 0.0185834 0 0 0
1.90676 1.83496 -0.526057 0.0205366 -1.68264 -0.421041 0 0 0
1.59769 1.82935 -0.230599 -0.144982 1.72658 -1.00892 0 0 0
1.36937 1.81794 0.120528 -0.039727 1.74013 -0.265169 0 0 0
1.15595 1.77464 -0.0834308 -0.00941527 2.79283 -0.16993 0 0 0
1.03894 1.62823 0.0483301 -0.0741192 -1.00564 0.293127 0 0 0
1.42682 1.59796 0.69687 -0.0257972 0.0364301 -0.239945 0 0 0
1.90995 1.64251 0.158729 0.25811 1.11573 -0.954887 0 0 0
2.06163 1.91611 -0.120787 0.114531 -1.53963 0.676914 0 0 0
1.4937 2.08013 -0.897515 -0.0700687 0.581364 -0.327867 0 0 0
1.06132 1.90863 -0.18931 -0.351712 -1.0995 0.420145 0 0 0
1.34549 1.81367 0.712889 0.133885 0.210741 -0.256972 0 0 0
1.67183 1.93264 0.129373 0.146971 0.270877 -0.644131 0 0 0
1.8337 1.8436 0.116406 -0.00743576 -0.981789 2.04531 0 0 0
1.82786 1.81776 -0.301148 -0.073163 -1.0026 -0.30447 0 0 0
1.52878 2.03749 0.105468 0.30111 -2.61523 1.24378 0 0 0
1.55694 2.00986 0.225351 -0.193033 -0.73291 1.75711 0 0 0
1.49183 1.86392 -0.298764 -0.183984 -0.370663 -0.31085 0 0 0
1.56266 1.98022 -0.0640191 0.391034 1.82601 -0.709886 0 0 0
1.1323 1.97624 -0.35486 -0.323356 -1.11977 -0.141676 0 0 0
1.3506 1.77685 0.357804 -0.0284346 0.857314 -0.399629 0 0 0
1.72714 1.80373 0.0192882 -0.247174 1.80846 0.501562 0 0 0
1.41921 1.55666 -0.752231 0.199368 0.280938 -0.415858 0 0 0
0.966798 1.94703 -0.373737 -0.0800452 -1.36386 -1.82634 0 0 0
0.936567 2.02911 0.173889 0.472394 -0.640859 0.138804 0 0 0
1.44407 2.44637 0.495169 -0.018296 -0.64624 -1.87615 0 0 0
